genus,Acc_18S,Acc_28S,Acc_COI,Acc_histone_3,Acc_wingless
Abidama,GQ406026,GQ423066,GQ423160,NA,NA
Abimwa,NA,NA,NA,GU123789,NA
Acanalonia,KX761564,DQ532584,NA,DQ532662,DQ532731
Achaemenes,EU183575,EU183704,NA,NA,NA
Achorotile,HM017305,HM017413,NA,NA,HM017466
Acinopterus,NA,AF304622,NA,GU123790,NA
Aconophora,AY498405,NA,NA,NA,NA
Aconura,NA,KR230119,KR230163,KR230246,NA
Aconurella,NA,KR230117,KR230164,KR230244,NA
Acostemma,NA,NA,NA,GU123791,NA
Acrogonia,NA,NA,NA,AY869772,NA
Acusana,NA,NA,KF920417,NA,NA
Acutalis,AY498410,NA,NA,NA,NA
Adama,NA,NA,NA,GU123792,NA
Adelia,AB268070,NA,NA,NA,NA
Aecalus,KF525508,KF525545,NA,KF525612,KF525701
Aeneolamia,KU504430,KU504357,NA,GU447128,GU446739
Aetalion,KX924719,KX924799,NA,KX924979,NA
Aflexia,NA,NA,NA,GU123793,NA
Afronaso,KX761549,NA,NA,NA,NA
Afronersia,JQ982516,JQ982533,JQ982587,JQ982606,JQ982637
Agalmatium,KX702852,KX702866,NA,NA,NA
Agrica,NA,NA,KR230214,GU123884,NA
Akemetopon,NA,NA,JN191497,NA,NA
Akotropis,NA,KF530272,NA,NA,NA
Alchisme,AY498408,NA,NA,NA,NA
Alebra,NA,NA,KR579591,KY302504,NA
Aleeta,AB740544,NA,NA,NA,NA
Alleloplasis,NA,NA,KF226736,NA,NA
Allodrilus,KX924761,KX924878,NA,KX925059,KX925193
Allygidius,NA,NA,NA,JX845526,NA
Alphina,EU645751,EU645818,EU645987,EU645882,NA
Amblycratus,NA,DQ532586,NA,DQ532664,DQ532733
Amblysellus,NA,KR230120,NA,KR230247,NA
Amerzanna,DQ532539,DQ532619,EU645988,DQ532692,DQ532755
Amrasca,NA,NA,KX813815,NA,NA
Amycle,EU645752,EU645819,KF919595,EU645883,NA
Anakelisia,HM017260,HM017368,AF304411,NA,HM017457
Anchistrotus,KX924795,KX924885,KX924974,KX925066,KX925194
Anchon,AY498443,NA,NA,NA,AY498509
Andes,EU183568,EU183663,NA,NA,NA
Anecphora,EU645797,EU645864,EU646034,EU645919,NA
Angustella,NA,KY302371,NA,KY302511,NA
Anoplotettix,NA,NA,NA,JX845527,NA
Anoterostemma,NA,NA,NA,JX845528,NA
Anotia,NA,NA,KR563294,NA,NA
Antianthe,AY498409,NA,NA,NA,AY498475
Antillonirvana,NA,KY302417,NA,NA,KY302612
Antillotolania,AY498462,NA,NA,NA,AY498528
Aphelonema,KX761548,DQ532625,NA,DQ532698,DQ532759
Aphrodes,NA,NA,NA,GU123794,NA
Aphrodisias,EU645808,EU645875,EU646045,NA,EU645970
Aphrophora,KC413732,GU446941,NA,GU447168,GU446725
Aphypia,JQ982508,JQ982525,JQ982582,JQ982599,NA
Apomachaerota,KF525502,KF525539,NA,GU447197,GU446788
