X,hemipteran.species,genus,infraorder,superfamily,family,subfamily,primary.endosymbiont,primary.endosymbiont.identity,primary.endosymbiont.taxonomic.group,companion.symbiont,companion.symbiont.identity,companion.symbiont.taxonomic.group,companion.symbiont.remarks,third.symbiont,third.symbiont.identity,third.symbiont.taxonomic.group,third.symbiont.remarks,diet,diet.remarks,reference
1,Aphrophora quadrinotata,Aphrophora,Cicadomorpha,Cercopoidea,Aphrophoridae,NA,1,Candidatus Sulcia muelleri,Bacteroidetes,1,Candidatus Zinderia insecticola + Sodalis glossinidius,beta_proteobacteria_plus_gamma_proteobacteria,,1,Sodalis glossinidius,gamma_proteobacteria,NA,Xylem,,Koga 2013
2,Cephisus siccifolia,Cephisus,Cicadomorpha,Cercopoidea,Aphrophoridae,NA,1,Candidatus Sulcia muelleri,Bacteroidetes,1,Candidatus Zinderia insecticola,beta_proteobacteria,,0,Absent,Absent,NA,Xylem,,Koga 2013
3,Clovia sp.,Clovia,Cicadomorpha,Cercopoidea,Aphrophoridae,NA,1,Candidatus Sulcia muelleri,Bacteroidetes,1,Candidatus Zinderia insecticola,beta_proteobacteria,,0,Absent,Absent,NA,Xylem,,Koga 2013
4,Lepyronia coleoptrata,Lepyronia,Cicadomorpha,Cercopoidea,Aphrophoridae,NA,1,Candidatus Sulcia muelleri,Bacteroidetes,1,Candidatus Zinderia insecticola,beta_proteobacteria,,0,Absent,Absent,NA,Xylem,,Koga 2013
5,Mesoptyelus fascialis,Mesoptyelus,Cicadomorpha,Cercopoidea,Aphrophoridae,NA,1,Candidatus Sulcia muelleri,Bacteroidetes,1,Sodalis glossinidius,gamma_proteobacteria,,0,Absent,Absent,NA,Xylem,,Koga 2013
6,Microsargane vitatta,Microsargane,Cicadomorpha,Cercopoidea,Aphrophoridae,NA,1,Candidatus Sulcia muelleri,Bacteroidetes,1,Candidatus Zinderia insecticola,beta_proteobacteria,,0,Absent,Absent,NA,Xylem,,Koga 2013
7,Neophilaenus lineatus,Neophilaenus,Cicadomorpha,Cercopoidea,Aphrophoridae,NA,1,Candidatus Sulcia muelleri,Bacteroidetes,1,Sodalis glossinidius,gamma_proteobacteria,,0,Absent,Absent,NA,Xylem,,Koga 2013
8,Philaenus spumarius,Philaenus,Cicadomorpha,Cercopoidea,Aphrophoridae,NA,1,Candidatus Sulcia muelleri,Bacteroidetes,1,Sodalis glossinidius,gamma_proteobacteria,,0,Absent,Absent,NA,Xylem,,Koga 2013; Daane 2011
9,Philagra sp.,Philagra,Cicadomorpha,Cercopoidea,Aphrophoridae,NA,1,Candidatus Sulcia muelleri,Bacteroidetes,1,Candidatus Zinderia insecticola,beta_proteobacteria,,0,Absent,Absent,NA,Xylem,,Koga 2013
10,Ptyelus grossus,Ptyelus,Cicadomorpha,Cercopoidea,Aphrophoridae,NA,1,Candidatus Sulcia muelleri,Bacteroidetes,0,Absent,Absent,,0,Absent,Absent,NA,Xylem,,Koga 2013
11,Cosmoscarta heros,Cosmoscarta,Cicadomorpha,Cercopoidea,Cercopidae,Cercopinae,1,Candidatus Sulcia muelleri,Bacteroidetes,0,Absent,Absent,,0,Absent,Absent,NA,Xylem,,Koga 2013
12,Euryaulax carnifex,Euryaulax,Cicadomorpha,Cercopoidea,Cercopidae,Cercopinae,1,Candidatus Sulcia muelleri,Bacteroidetes,1,Candidatus Zinderia insecticola,beta_proteobacteria,,0,Absent,Absent,NA,Xylem,,Koga 2013
13,Aeneolamia contigua,Aeneolamia,Cicadomorpha,Cercopoidea,Cercopidae,Ischnorhininae,1,Candidatus Sulcia muelleri,Bacteroidetes,0,Absent,Absent,,0,Absent,Absent,NA,Xylem,,Koga 2013
14,Baetkia maroniensis,Baetkia,Cicadomorpha,Cercopoidea,Cercopidae,Ischnorhininae,1,Candidatus Sulcia muelleri,Bacteroidetes,1,Candidatus Zinderia insecticola,beta_proteobacteria,,0,Absent,Absent,NA,Xylem,,Koga 2013
15,Huaina inca,Huaina,Cicadomorpha,Cercopoidea,Cercopidae,Ischnorhininae,1,Candidatus Sulcia muelleri,Bacteroidetes,1,Candidatus Zinderia insecticola,beta_proteobacteria,,0,Absent,Absent,NA,Xylem,,Koga 2013
16,Mahanarva costaricensis,Mahanarva,Cicadomorpha,Cercopoidea,Cercopidae,Ischnorhininae,1,Candidatus Sulcia muelleri,Bacteroidetes,NA,NA,NA,,0,Absent,Absent,NA,Xylem,,Moran 2005
17,Maxantonia diversa,Maxantonia,Cicadomorpha,Cercopoidea,Cercopidae,Ischnorhininae,1,Candidatus Sulcia muelleri,Bacteroidetes,1,Candidatus Zinderia insecticola,beta_proteobacteria,,0,Absent,Absent,NA,Xylem,,Koga 2013
18,Ocoaxo lineatus,Ocoaxo,Cicadomorpha,Cercopoidea,Cercopidae,Ischnorhininae,1,Candidatus Sulcia muelleri,Bacteroidetes,1,Candidatus Zinderia insecticola,beta_proteobacteria,,0,Absent,Absent,NA,Xylem,,Koga 2013
19,Prosapia bicincta,Prosapia,Cicadomorpha,Cercopoidea,Cercopidae,Ischnorhininae,1,Candidatus Sulcia muelleri,Bacteroidetes,1,Candidatus Zinderia insecticola,beta_proteobacteria,,0,Absent,Absent,NA,Xylem,,Koga 2013
20,Aufidus trifasciatus,Aufidus,Cicadomorpha,Cercopoidea,Cercopidae,NA,1,Candidatus Sulcia muelleri,Bacteroidetes,1,Candidatus Zinderia insecticola,beta_proteobacteria,,0,Absent,Absent,NA,Xylem,,Koga 2013
21,Locris maculatat,Locris,Cicadomorpha,Cercopoidea,Cercopidae,NA,1,Candidatus Sulcia muelleri,Bacteroidetes,1,Candidatus Zinderia insecticola,beta_proteobacteria,,0,Absent,Absent,NA,Xylem,,Koga 2013
22,Machadoa invenusta,Machadoa,Cicadomorpha,Cercopoidea,Cercopidae,NA,1,Candidatus Sulcia muelleri,Bacteroidetes,1,Candidatus Zinderia insecticola,beta_proteobacteria,,0,Absent,Absent,NA,Xylem,,Koga 2013
23,Philaenarcys bilineata,Philaenarcys,Cicadomorpha,Cercopoidea,Cercopidae,NA,1,Candidatus Sulcia muelleri,Bacteroidetes,1,Sodalis glossinidius,gamma_proteobacteria,,0,Absent,Absent,NA,Xylem,,Koga 2013
24,Clastoptera arizonana,Clastoptera,Cicadomorpha,Cercopoidea,Clastopteridae,NA,1,Candidatus Sulcia muelleri,Bacteroidetes,1,Candidatus Zinderia insecticola,beta_proteobacteria,,0,Absent,Absent,NA,Xylem,Xylem (all spittlebugs),McCutcheon 2010; Tassone 2017
25,Eicissus sp.,Eicissus,Cicadomorpha,Cercopoidea,Epipygidae,NA,1,Candidatus Sulcia muelleri,Bacteroidetes,0,Absent,Absent,,0,Absent,Absent,NA,Xylem,,Koga 2013
26,Chaetophyes vicina,Chaetophyes,Cicadomorpha,Cercopoidea,Machaerotidae,NA,1,Candidatus Sulcia muelleri,Bacteroidetes,1,Candidatus Zinderia insecticola,beta_proteobacteria,,0,Absent,Absent,NA,Xylem,,Koga 2013
27,Hindoloides bipunctatus,Hindoloides,Cicadomorpha,Cercopoidea,Machaerotidae,NA,1,Candidatus Sulcia muelleri,Bacteroidetes,NA,NA,NA,,0,Absent,Absent,NA,Xylem,,Moran 2005
28,Machaerota takeuchii,Machaerota,Cicadomorpha,Cercopoidea,Machaerotidae,NA,1,Candidatus Sulcia muelleri,Bacteroidetes,1,Candidatus Zinderia insecticola,beta_proteobacteria,,0,Absent,Absent,NA,Xylem,,Koga 2013
29,Pectinariophyes reticulata,Pectinariophyes,Cicadomorpha,Cercopoidea,Machaerotidae,NA,1,Candidatus Sulcia muelleri,Bacteroidetes,1,Candidatus Zinderia insecticola,beta_proteobacteria,,0,Absent,Absent,NA,Xylem,,Koga 2013
